Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1287633,-,-,-,46.45,-72.66,-5,90,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),,,,,,,,,,,,,,,,,,,,,,
2017,5,1,11,30,239,11,249,259,648,813,8,3,31.38,0,0.124,0.6,3.194,71.5,98.73,4,990,15.0668,11.8537,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,12,0,228,10,237,239,680,820,8,4,31.26,0,0.124,0.6,3.214,72.1,93.93,5,990,14.3434,11.2847,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,12,30,201,8,208,237,675,808,8,4,32.38,0,0.124,0.6,3.25,72.1,93.88,5,990,12.5655,9.8848,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,13,0,168,4,172,219,690,787,6,4,34.61,0,0.124,0.6,3.286,72.6,95.26,5,990,10.3502,8.14,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,13,30,126,0,126,215,676,750,8,4,37.74,0,0.124,0.6,3.32,72.6,95.23,5,990,7.5353,5.9238,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,14,0,164,2,166,218,641,698,8,4,41.56,0,0.124,0.6,3.355,71.6,95.58,5,990,9.8402,7.7312,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,14,30,138,0,138,209,616,638,6,4,45.87,0,0.124,0.6,3.356,71.6,95.56,5,990,8.0833,6.3454,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,15,0,93,0,93,221,537,563,6,4,50.54,0,0.124,0.6,3.357,68.5,95.06,5,990,5.3619,4.204,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,15,30,97,0,97,206,497,488,6,4,55.44,0,0.124,0.6,3.347,68.5,100,4,990,5.4779,4.2878,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,16,0,65,0,65,208,391,401,8,4,60.49,0,0.124,0.6,3.338,71.4,100,4,990,3.5731,2.7899,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,16,30,57,0,57,181,332,319,8,4,65.62,0,0.124,0.6,3.313,71.4,100,4,990,3.0262,2.3543,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,17,0,43,0,43,144,288,239,6,3,70.78,4,0.124,0.6,3.289,75.3,98.5,4,990,2.1859,1.691,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,17,30,28,0,28,108,204,158,6,2,75.92,4,0.124,0.6,3.263,75.3,100,3,990,1.3586,1.0424,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,18,0,15,0,15,66,126,86,8,2,81,4,0.124,0.6,3.237,83.5,100,3,990,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,18,30,4,0,4,23,34,25,6,2,85.97,4,0.124,0.5,3.301,83.5,100,3,990,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,19,0,0,0,0,0,0,0,8,2,90.79,0,0.124,0.5,3.365,89.8,100,3,990,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,19,30,0,0,0,0,0,0,8,2,95.42,0,0.124,0.4,3.391,89.8,100,3,990,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,20,0,0,0,0,0,0,0,8,2,99.8,0,0.124,0.4,3.418,98.2,100,3,990,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,20,30,0,0,0,0,0,0,8,2,103.87,0,0.124,0.4,3.407,98.2,100,3,990,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,1,21,0,0,0,0,0,0,0,6,3,107.56,0,0.124,0.4,3.397,103.3,99.36,4,980,0,0,,,,,,,,,,,,,,,,,,,,,,
